"route_short_name";"trip_id";"arrival_time";"departure_time";"stop_id";"stop_sequence";"pickup_type";"drop_off_type"
"M1";113643536238752496;"22:18:17";"22:18:17";"1640B";4;0;0
"M1";113643536238752496;"22:21:00";"22:21:00";"1382";5;0;0
"M1";113643537238752496;"22:18:00";"22:18:00";"7832";1;0;0
"M1";113643537238752496;"22:21:00";"22:21:00";"2913";2;0;0
"M1";113643537238752496;"22:21:52";"22:21:52";"1639";3;0;0
"M1";113643537238752496;"22:23:17";"22:23:17";"1640B";4;0;0
"M1";113643537238752496;"22:26:00";"22:26:00";"1382";5;0;0
"M1";113643538238752496;"22:23:00";"22:23:00";"7832";1;0;0
"M1";113643538238752496;"22:26:00";"22:26:00";"2913";2;0;0
"M1";113643538238752496;"22:26:52";"22:26:52";"1639";3;0;0
"M1";113643538238752496;"22:28:17";"22:28:17";"1640B";4;0;0
"M1";113643538238752496;"22:31:00";"22:31:00";"1382";5;0;0
"M1";113643539238752496;"22:28:00";"22:28:00";"7832";1;0;0
"M1";113643539238752496;"22:31:00";"22:31:00";"2913";2;0;0
"M1";113643539238752496;"22:31:52";"22:31:52";"1639";3;0;0
"M1";113643539238752496;"22:33:17";"22:33:17";"1640B";4;0;0
"M1";113643539238752496;"22:36:00";"22:36:00";"1382";5;0;0
"M1";113643540238752496;"22:33:00";"22:33:00";"7832";1;0;0
"M1";113643540238752496;"22:36:00";"22:36:00";"2913";2;0;0
"M1";113643540238752496;"22:36:52";"22:36:52";"1639";3;0;0
"M1";113643540238752496;"22:38:17";"22:38:17";"1640B";4;0;0
"M1";113643540238752496;"22:41:00";"22:41:00";"1382";5;0;0
"M1";113643541238752496;"22:38:00";"22:38:00";"7832";1;0;0
"M1";113643541238752496;"22:41:00";"22:41:00";"2913";2;0;0
"M1";113643541238752496;"22:41:52";"22:41:52";"1639";3;0;0
"M1";113643541238752496;"22:43:17";"22:43:17";"1640B";4;0;0
"M1";113643541238752496;"22:46:00";"22:46:00";"1382";5;0;0
"M1";113643542238752496;"22:43:00";"22:43:00";"7832";1;0;0
"M1";113643542238752496;"22:46:00";"22:46:00";"2913";2;0;0
"M1";113643542238752496;"22:46:52";"22:46:52";"1639";3;0;0
"M1";113643542238752496;"22:48:17";"22:48:17";"1640B";4;0;0
"M1";113643542238752496;"22:51:00";"22:51:00";"1382";5;0;0
"M1";113643543238752496;"22:48:00";"22:48:00";"7832";1;0;0
"M1";113643543238752496;"22:51:00";"22:51:00";"2913";2;0;0
"M1";113643543238752496;"22:51:52";"22:51:52";"1639";3;0;0
"M1";113643543238752496;"22:53:17";"22:53:17";"1640B";4;0;0
"M1";113643543238752496;"22:56:00";"22:56:00";"1382";5;0;0
"M1";113643544238752496;"22:53:00";"22:53:00";"7832";1;0;0
"M1";113643544238752496;"22:56:00";"22:56:00";"2913";2;0;0
"M1";113643544238752496;"22:56:52";"22:56:52";"1639";3;0;0
"M1";113643544238752496;"22:58:17";"22:58:17";"1640B";4;0;0
"M1";113643544238752496;"23:01:00";"23:01:00";"1382";5;0;0
"M1";113643545238752496;"22:58:00";"22:58:00";"7832";1;0;0
"M1";113643545238752496;"23:01:00";"23:01:00";"2913";2;0;0
"M1";113643545238752496;"23:01:52";"23:01:52";"1639";3;0;0
"M1";113643545238752496;"23:03:17";"23:03:17";"1640B";4;0;0
"M1";113643545238752496;"23:06:00";"23:06:00";"1382";5;0;0
"M1";113643546238752496;"23:03:00";"23:03:00";"7832";1;0;0
"M1";113643546238752496;"23:06:00";"23:06:00";"2913";2;0;0
"M1";113643546238752496;"23:06:52";"23:06:52";"1639";3;0;0
"M1";113643546238752496;"23:08:17";"23:08:17";"1640B";4;0;0
"M1";113643546238752496;"23:11:00";"23:11:00";"1382";5;0;0
"M1";113643547238752496;"23:08:00";"23:08:00";"7832";1;0;0
"M1";113643547238752496;"23:11:00";"23:11:00";"2913";2;0;0
"M1";113643547238752496;"23:11:52";"23:11:52";"1639";3;0;0
