"Line","Variance","From","To","Speed Average"
8,1,"5467","5475",12.264269426814884
8,1,"5475","5469",16.030102095538748
8,1,"5469","5470",12.394531007063478
8,1,"5470","6361",16.623704099653544
9,0,"0470F","6864F",23.922929281627557
9,0,"6864F","6865F",11.708462670385504
9,0,"6865F","1675F",16.082400054479397
9,0,"1675F","1677F",16.123813357786457
9,0,"1677F","1679F",22.52782585817855
9,0,"1679F","1681F",16.54339590266049
9,0,"1681F","1683F",15.83038824051086
9,0,"1683F","1685F",18.58643915584863
9,0,"1685F","1687F",19.581389176227816
9,1,"1686F","1684F",19.81898291253633
9,1,"1684F","1682F",15.411079411118681
9,1,"1682F","1680F",19.343103814088224
9,1,"1680F","1678F",21.142335147508422
9,1,"1678F","1676F",16.95228930634181
9,1,"1676F","1674F",13.849797853474255
9,1,"1674F","1014F",13.258356039203997
9,1,"1014F","6805F",13.66223089108882
9,1,"6805F","0473F",17.429941645728075
12,0,"9600B","3017",20.283368312559787
12,0,"3017","5048",17.414904514827025
12,0,"5048","2695",18.153162966373944
12,0,"2695","2250",14.86311460764801
12,0,"2250","1270B",13.038412452231102
12,0,"1270B","1162C",13.726151642852376
12,0,"1162C","6432",8.690763424258373
12,0,"6432","1780",10.777158983248903
12,1,"1780","6433",15.408729978767331
12,1,"6433","1131B",12.37717067434144
12,1,"1131B","1418B",12.950414117916816
12,1,"1418B","2247",28.588226392019596
12,1,"2247","4556",
12,1,"4556","5044",
12,1,"5044","3018",
12,1,"3018","9600B",
13,0,"4111","1179",15.436691652368038
13,0,"1179","1180",9.803111464789975
13,0,"1180","1183",13.470753565186206
13,0,"1183","4152",16.240282898257906
13,0,"4152","1303",13.254382189347169
13,0,"1303","2422",15.474474163824139
13,0,"2422","4158",14.307256183199195
13,0,"4158","4163",13.514847595269998
13,0,"4163","1710",13.411427662572338
13,0,"1710","9103",15.836843944706278
13,0,"9103","1065",
13,0,"1065","1066",
13,0,"1066","1067",0.0
13,0,"1067","1711",0.08340228518702252
