"LineID";"DirectionID";"DistanceFromPoint";"PointID";"Time";"Variance"
89;1261;50;3221;22:55:01;1
89;1261;0;3347;22:55:01;1
89;3347;20;2782;22:55:01;0
89;3347;0;2648;07:27:03;0
89;3347;61;2296;07:27:03;0
89;3347;174;2296;07:27:03;0
89;1261;40;1259;07:27:03;1
89;1261;40;2781;07:27:03;1
89;1261;324;2768;07:27:03;1
89;2788;38;2748;07:27:03;-1
89;1261;114;3221;07:27:03;1
89;1261;0;3347;07:27:03;1
89;3347;171;2782;07:27:03;0
89;3347;57;2648;16:46:50;0
89;3347;61;2296;16:46:50;0
89;3347;0;3347;16:46:50;0
89;1261;40;1259;16:46:50;1
89;1261;40;2781;16:46:50;1
89;1261;324;2768;16:46:50;1
89;2788;183;2748;16:46:50;-1
89;1261;0;3222;16:46:50;1
89;1261;34;3347;16:46:50;1
89;3347;307;2782;16:46:50;0
89;3347;3;1204;02:25:24;0
89;1261;0;3347;02:25:24;1
89;1261;40;1259;02:25:24;1
89;1261;40;2781;02:25:24;1
89;1261;324;2768;02:25:24;1
89;2788;298;2748;02:25:24;-1
89;1261;6;3222;02:25:24;1
89;1261;34;3347;02:25:24;1
89;3347;472;2782;02:25:24;0
89;3347;101;1204;11:04:14;0
89;1261;0;3347;11:04:14;1
89;1261;40;1259;11:04:14;1
89;1261;27;2783;11:04:14;1
89;1261;324;2768;11:04:14;1
89;2788;298;2748;11:04:14;-1
89;1261;6;3222;11:04:14;1
89;1261;34;3347;11:04:14;1
89;3347;472;2782;11:04:14;0
89;3347;410;1204;05:57:45;0
89;1261;0;3347;05:57:45;1
89;1261;312;2783;05:57:45;1
89;2788;298;2748;05:57:45;-1
89;1261;88;3222;05:57:45;1
89;1261;40;2595;05:57:45;1
89;3347;60;1178;05:57:45;0
89;3347;0;1205;15:15:50;0
89;1261;0;3347;15:15:50;1
89;1261;546;2783;15:15:50;1
89;1261;38;2536;15:15:50;1
89;2788;298;2748;15:15:50;-1
89;1261;0;3223;15:15:50;1
89;1261;40;2595;15:15:50;1
89;3347;563;1178;15:15:50;0
89;3347;0;1205;00:13:27;0
89;1261;0;3347;00:13:27;1
89;1261;0;3347;00:13:27;1
89;1261;0;2779;00:13:27;1
89;1261;38;2536;00:13:27;1
89;2788;298;2748;00:13:27;-1
89;1261;0;3223;00:13:27;1
89;1261;40;2595;00:13:27;1
89;3347;607;1178;00:13:27;0
89;3347;185;1205;08:45:27;0
89;1261;0;3347;08:45:27;1
89;1261;0;3347;08:45:27;1
89;1261;0;2779;08:45:27;1
89;1261;38;2536;08:45:27;1
89;1261;0;3223;08:45:27;1
89;1261;40;2595;08:45:27;1
89;3347;0;4595;08:45:27;0
89;3347;321;1205;18:12:05;0
89;1261;0;3347;18:12:05;1
89;1261;0;3347;18:12:05;1
89;1261;161;2779;18:12:05;1
89;1261;38;2536;18:12:05;1
89;1261;42;3228;18:12:05;1
89;1261;172;2303;18:12:05;1
89;3347;129;4595;18:12:05;0
89;3347;38;1206;02:54:20;0
89;1261;0;3347;02:54:20;1
89;1261;0;3347;02:54:20;1
89;1261;272;2779;02:54:20;1
89;1261;38;2536;02:54:20;1
89;1261;42;3228;02:54:20;1
89;1261;207;2303;02:54:20;1
89;3347;261;4595;02:54:20;0
89;3347;34;1207;21:06:37;0
89;1261;0;3347;21:06:37;1
89;1261;0;3347;21:06:37;1
89;1261;278;2779;21:06:37;1
89;1261;34;1260;21:06:37;1
89;2788;22;2784;21:06:37;-1
89;1261;72;3226;21:06:37;1
89;1261;184;3320;21:06:37;1
89;3347;1;6648;21:06:37;0
89;3347;34;1207;06:36:39;0
89;1261;0;3347;06:36:39;1
89;1261;0;3347;06:36:39;1
89;1261;278;2779;06:36:39;1
89;1261;34;1260;06:36:39;1
89;2788;140;2784;06:36:39;-1
89;1261;230;3226;06:36:39;1
89;1261;25;3221;06:36:39;1
89;3347;1;6648;06:36:39;0
89;3347;34;1207;15:34:16;0
89;1261;0;3347;15:34:16;1
89;1261;0;3347;15:34:16;1
89;2782;0;1203;15:34:16;-1
89;1261;278;2779;15:34:16;1
89;1261;34;1260;15:34:16;1
89;2788;281;2784;15:34:16;-1
89;1261;565;3226;15:34:16;1
89;1261;213;3221;15:34:16;1
89;3347;1;6648;15:34:16;0
89;3347;34;1207;00:52:59;0
89;1261;0;3347;00:52:59;1
89;2782;0;1203;00:52:59;-1
89;1261;34;1260;00:52:59;1
89;2788;429;2784;00:52:59;-1
89;1261;716;3226;00:52:59;1
89;1261;0;3222;00:52:59;1
89;3347;1;6648;00:52:59;0
89;3347;38;2748;09:38:02;0
89;1261;0;3347;09:38:02;1
89;2782;80;1203;09:38:02;-1
89;1261;34;1260;09:38:02;1
89;2788;0;2782;09:38:02;-1
89;1261;12;1117;09:38:02;1
89;1261;1;3222;09:38:02;1
89;3347;38;3259;09:38:02;0
89;3347;38;2748;18:40:45;0
89;1261;34;3347;18:40:45;1
89;2782;135;1203;18:40:45;-1
89;2788;0;2782;18:40:45;-1
89;1261;0;1117;18:40:45;1
89;1261;22;3222;18:40:45;1
89;3347;327;3259;18:40:45;0
89;3347;38;2748;03:07:37;0
89;1261;147;3347;03:07:37;1
89;2782;135;1203;03:07:37;-1
89;2788;137;2782;03:07:37;-1
89;1261;46;1117;03:07:37;1
89;1261;85;3222;03:07:37;1
89;3347;367;3259;03:07:37;0
89;3347;113;2754;12:13:46;0
89;1261;147;3347;12:13:46;1
89;2782;135;1203;12:13:46;-1
89;1261;96;1257;12:13:46;1
89;2788;137;2782;12:13:46;-1
89;1261;163;1117;12:13:46;1
89;1261;38;3223;12:13:46;1
89;3347;83;3260;12:13:46;0
89;3347;113;2754;21:21:37;0
89;1261;0;2301;21:21:37;1
89;2782;135;1203;21:21:37;-1
89;1261;324;1257;21:21:37;1
89;2788;137;2782;21:21:37;-1
89;1261;346;1117;21:21:37;1
89;1261;92;3223;21:21:37;1
89;3347;140;3260;21:21:37;0
89;3347;5;2776;05:53:37;0
89;1261;0;2301;05:53:37;1
89;2782;135;1203;05:53:37;-1
89;1261;5;2536;05:53:37;1
89;2788;137;2782;05:53:37;-1
89;1261;346;1117;05:53:37;1
89;1261;92;3223;05:53:37;1
89;3347;0;3261;05:53:37;0
89;3347;243;2776;15:15:07;0
89;1261;0;2301;15:15:07;1
89;1261;0;3347;15:15:07;1
89;2782;151;1203;15:15:07;-1
89;1261;347;2536;15:15:07;1
89;1261;346;1117;15:15:07;1
89;1261;92;3223;15:15:07;1
89;3347;82;3261;15:15:07;0
89;3347;393;2776;00:04:12;0
89;1261;0;2301;00:04:12;1
89;1261;0;3347;00:04:12;1
89;2782;151;1203;00:04:12;-1
89;1261;505;2536;00:04:12;1
89;1261;346;1117;00:04:12;1
89;1261;92;3223;00:04:12;1
89;3347;82;3261;00:04:12;0
89;3347;0;2784;08:51:33;0
89;1261;0;3347;08:51:33;1
89;2782;151;1203;08:51:33;-1
89;1261;73;1259;08:51:33;1
89;3347;82;3261;08:51:33;0
89;3347;0;2784;17:47:29;0
89;1261;0;3347;17:47:29;1
89;2782;151;1203;17:47:29;-1
89;1261;218;1259;17:47:29;1
89;2788;40;4595;17:47:29;-1
89;1261;0;2783;17:47:29;1
89;3347;82;3261;17:47:29;0
89;3347;3;2784;02:45:03;0
89;1261;0;3347;02:45:03;1
89;2782;151;1203;02:45:03;-1
89;1261;389;1259;02:45:03;1
89;2788;156;4595;02:45:03;-1
89;1261;15;2783;02:45:03;1
89;1261;38;3226;02:45:03;1
89;3347;82;3261;02:45:03;0
89;3347;261;2784;11:40:11;0
89;1261;187;2303;11:40:11;1
89;1261;0;3347;11:40:11;1
89;2782;151;1203;11:40:11;-1
89;1261;34;1260;11:40:11;1
89;2788;34;6648;11:40:11;-1
89;1261;80;2783;11:40:11;1
89;1261;38;3226;11:40:11;1
89;3347;90;1894;11:40:11;0
89;3347;319;2784;22:46:35;0
89;1261;187;2303;22:46:35;1
89;1261;0;3347;22:46:35;1
89;1261;34;1260;22:46:35;1
89;2788;87;6648;22:46:35;-1
89;1261;215;2783;22:46:35;1
89;1261;38;3226;22:46:35;1
89;3347;203;1894;22:46:35;0
89;3347;57;2782;07:51:00;0
89;1261;0;3320;07:51:00;1
89;1261;0;3347;07:51:00;1
89;1261;34;1260;07:51:00;1
89;2788;303;6648;07:51:00;-1
89;1261;489;2783;07:51:00;1
89;1261;609;3226;07:51:00;1
89;3347;0;1820;07:51:00;0
89;3347;227;2782;16:46:53;0
89;1261;65;3320;16:46:53;1
89;1261;0;3347;16:46:53;1
89;1261;34;1260;16:46:53;1
89;2788;50;3259;16:46:53;-1
89;1261;562;2783;16:46:53;1
89;1261;573;4594;16:46:53;1
89;3347;14;1820;16:46:53;0
89;3347;0;1178;02:30:35;0
89;1261;0;3221;02:30:35;1
89;1261;0;3347;02:30:35;1
89;2788;229;3259;02:30:35;-1
89;1261;0;2779;02:30:35;1
89;1261;0;1117;02:30:35;1
89;3347;44;1820;02:30:35;0
89;3347;0;1178;11:41:51;0
89;1261;0;3221;11:41:51;1
89;1261;0;3347;11:41:51;1
89;2788;317;3259;11:41:51;-1
89;1261;0;2779;11:41:51;1
89;1261;49;1117;11:41:51;1
89;3347;118;1820;11:41:51;0
89;3347;0;1178;20:25:48;0
89;1261;161;3221;20:25:48;1
89;1261;0;3347;20:25:48;1
89;2788;317;3259;20:25:48;-1
89;1261;0;2779;20:25:48;1
89;1261;267;1117;20:25:48;1
89;3347;118;1820;20:25:48;0
89;3347;60;1178;05:14:52;0
89;1261;0;3222;05:14:52;1
89;1261;140;3347;05:14:52;1
89;2788;317;3259;05:14:52;-1
89;1261;0;2779;05:14:52;1
89;1261;529;1117;05:14:52;1
89;3347;118;1820;05:14:52;0
89;3347;60;1178;14:03:57;0
89;1261;0;3222;14:03:57;1
89;1261;140;3347;14:03:57;1
89;2782;0;1204;14:03:57;-1
89;2788;317;3259;14:03:57;-1
89;1261;0;2779;14:03:57;1
89;1261;0;2781;14:03:57;1
89;3347;48;2296;14:03:57;0
89;3347;60;1178;23:06:41;0
89;1261;14;3222;23:06:41;1
89;1261;84;2301;23:06:41;1
89;2782;276;1204;23:06:41;-1
89;2788;317;3259;23:06:41;-1
89;1261;0;2779;23:06:41;1
89;1261;143;2781;23:06:41;1
89;3347;48;2296;23:06:41;0
89;3347;60;1178;08:32:39;0
89;1261;48;3222;08:32:39;1
89;1261;84;2301;08:32:39;1
89;2782;334;1204;08:32:39;-1
89;1261;98;2768;08:32:39;1
89;1261;285;2781;08:32:39;1
89;3347;48;2296;08:32:39;0
89;3347;60;1178;17:34:19;0
89;1261;48;3222;17:34:19;1
89;1261;84;2301;17:34:19;1
89;2782;372;1204;17:34:19;-1
89;2788;36;3261;17:34:19;-1
89;1261;98;2768;17:34:19;1
89;1261;0;2783;17:34:19;1
89;3347;239;2296;17:34:19;0
89;3347;40;4595;03:06:15;0
89;1261;48;3222;03:06:15;1
89;1261;52;2595;03:06:15;1
89;2782;0;1205;03:06:15;-1
89;3347;153;1203;03:06:15;0
89;2788;36;3261;03:06:15;-1
89;1261;458;2768;03:06:15;1
89;1261;90;2783;03:06:15;1
89;3347;239;2296;03:06:15;0
89;3347;44;6648;11:29:32;0
89;1261;48;3222;11:29:32;1
89;1261;52;2595;11:29:32;1
89;2782;15;1205;11:29:32;-1
89;3347;0;1203;11:29:32;0
89;2788;36;3261;11:29:32;-1
89;1261;487;2768;11:29:32;1
89;1261;90;2783;11:29:32;1
89;3347;0;3347;11:29:32;0
89;3347;44;6648;20:35:40;0
89;1261;48;3222;20:35:40;1
89;1261;52;2595;20:35:40;1
89;2782;3;1206;20:35:40;-1
89;3347;0;1203;20:35:40;0
89;2788;57;1894;20:35:40;-1
89;1261;209;2750;20:35:40;1
89;1261;90;2783;20:35:40;1
89;3347;0;3347;20:35:40;0
89;3347;44;6648;05:57:10;0
89;1261;56;2303;05:57:10;1
89;2782;0;1206;05:57:10;-1
89;3347;0;1203;05:57:10;0
89;2788;201;1894;05:57:10;-1
89;1261;7;1257;05:57:10;1
89;1261;90;2783;05:57:10;1
89;1261;0;3347;05:57:10;1
89;3347;185;6648;15:14:14;0
89;1261;0;3320;15:14:14;1
89;2782;260;1206;15:14:14;-1
89;3347;0;1203;15:14:14;0
89;2788;12;1820;15:14:14;-1
89;1261;237;1257;15:14:14;1
89;1261;90;2783;15:14:14;1
89;1261;0;3347;15:14:14;1
89;3347;15;3259;08:46:36;0
89;1261;0;3221;08:46:36;1
89;2782;92;1207;08:46:36;-1
89;3347;95;1204;08:46:36;0
89;3347;34;1207;08:46:36;0
89;2788;143;1820;08:46:36;-1
89;1261;38;2536;08:46:36;1
89;1261;54;2768;08:46:36;1
89;1261;0;3347;08:46:36;1
89;3347;123;3259;17:59:33;0
89;1261;119;3221;17:59:33;1
89;2782;247;1207;17:59:33;-1
89;3347;95;1204;17:59:33;0
89;3347;34;1207;17:59:33;0
89;2788;143;1820;17:59:33;-1
89;1261;38;2536;17:59:33;1
89;1261;54;2768;17:59:33;1
89;1261;0;3347;17:59:33;1
